"Party","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,"+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","+","+","-",NA,"+","-","-","-",NA,NA,"-","-","-","-","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","-","+","-","+","+","-","+","-","+","+","-","+","-","-","-",NA,NA,"+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,"-","-","-"
"(R)","-","+","-","-","-","-","-","-","+","+","-","-","+","-","-","-","-","+","-","-"
"(D)","-","+","+","+","+","-","+","+","+","-","-","+","-","+","+","-","-","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","-","+","+","+","-","+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","+","+","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+"
"(R)","-","+","-","-","-","-","+",NA,"-","-","-","+","-","-","-","-","-","-","+",NA
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","-","+",NA,"+","-","+","+","+","+","+","+","-","+","+","+"
"(R)","+","-","-","-","-","-","+","-","-","-","-","-","+","-","-","-","+","-","-","-"
"(D)","+","+","+","+","+","-","+","+","+","+","+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","+","-","-","-","+","-","-","-","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+",NA,"+","+","-","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+",NA,"+","-","+","-","+","+","+","+","+","+","+","+"
"(D)","-","+","+","+","+","-","+","-","+","-","+","-","+","+","+","+","-","+","+","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","+","-","-","-","-"
"(R)",NA,"-","-",NA,"-","-","-","-","-","-","-","+","-","-","-","+","-","-","-","-"
"(D)","-","+","+","+","+","-","+","-","+","-","-","+","-","+","+","+","-","+","+","+"
"(D)",NA,"+","+",NA,"+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","+","+","-","+","-","-","-","+","+","-","-","+","-","-",NA
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+",NA,"+",NA,"+","-","+","+","+","+","+",NA,NA,"+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","-","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(I)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","-","+","+","+","+","+","+","-","+","-","+","+","-","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","+","-","-","-","-","+","-","-","-","-",NA,"+","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-",NA,"+","-","-","+","-","-","-",NA,NA,NA,NA,NA
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","-","+",NA,"+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","+","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+",NA,NA,"+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+","+","-","-","-"
"(R)","-","-","-","-","-","+","-","-","+","+","+","-","+","-","-","+","+","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","-","-","-","+","+","-","+","-","+","-","-","-","-","+","+","-","-","-","+","+"
"(R)",NA,NA,NA,NA,NA,NA,"+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","+","+","-","+","-","-","-","+","-","-","+","+","-","-","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","-","-","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","-","-",NA,"+","+","-","+","+","+","-","-","-","-","+","+","+","-","+","+","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+"
"(D)","-","+","+","+","+","+","+","+","+","-","+","-","+","+","-","+","+","+","+","+"
"(R)","-","+","-","-","-","-","+","-","-","-","-","+","+","+","-","-","-","-","-","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","+","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)",NA,"+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","+","-","-","+","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(D)","+","-","+","+","+","-","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+",NA,"+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","-","-","+","+","+","-","+","+","+","-","-","-","-","+","+","-","-","+","+","-"
"(D)","-","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+",NA,NA,"+","+","-","+","+","+","-","+","+","+","+","+","+","-","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","+","-","-","+","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(D)","-","-","+","+","+","-",NA,"+","+","+","+","-","-","+","+","-","+","+","+","-"
"(D)","-","+","+","+","+","+","+","-","+","+","+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","-","-","+","-","+","-","+","+","+","-","-","+","-","+","+","-","-","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","+","+","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","-","+","+","+","+","-","+","+","-","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","+","-"
"(D)","+","+","+","+","+","+","+","+","+","-","+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","-","+","+",NA,"+","-","+","+","-","+","+",NA,NA,NA,"+","+"
"(D)","-","+","-","-","-","-","+","-","-","-","-","+","-","-","-","-","-","-","-","+"
"(D)","-","-","+","+","+","-","+","-","+","-","-","-","-","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","+","-","+","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,NA,"+","+","+"
"(D)","+","+","+","-","+","+",NA,"+","+","+","+","+","+","+","+","+",NA,"+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","+","-","-","-"
"(R)","-","-","-","-","-","-","-",NA,"-","-","-","-","+","-","-","-","-","-","-","+"
"(R)","-","-","-","-","-","-","+","-","+","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+",NA,"+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)",NA,NA,NA,NA,NA,NA,NA,NA,"+","+","+","+","+","+","+",NA,NA,"+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+",NA,"+","+","+","-","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+"
"(R)","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","+","-","-","+","-","-","-","-","-","-","-","-"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+","+"
"(D)","+","+","+","+","+","+","+",NA,"+","-","+","+","+","+","+","+","+","+","+","+"
"(R)","-","-","-","-","-","-","+","-","-","-","-","-","-","-","-","-","-","-","-","-"
"(R)","-","-","-","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","-",NA
