"gender","IQ","advice","SES","School"
"M",4,"Ext","Skil",24
"M",7,"Gen","Shop",24
"M",3,"Ext","Skil",24
"M",3,"None","Unsk",24
"F",5,"Man","Skil",24
"M",3,"Man","Shop",24
"F",3,"Ext","Skil",24
"F",4,"Man","Skil",24
"F",4,"Ext","MidWC",24
"M",5,"Ext","Shop",24
"M",3,"Ext","Shop",24
"M",4,"Man","MidWC",24
"M",4,"Ext","Shop",24
"M",4,"Ext","Prof",24
"F",3,"None","Skil",25
"F",4,"Agr","Skil",25
"F",5,"Man","Skil",25
"F",5,"Man","Skil",25
"F",5,"Man","Skil",25
"F",5,"Agr","LoWC",25
"F",4,"None","Skil",25
"M",4,"None","Prof",25
"F",4,"Man","LoWC",25
"F",2,"None","Skil",25
"F",3,"None","Skil",25
"F",7,"Gen","MidWC",26
"M",7,"Gen","Shop",26
"M",7,"Gen","Shop",26
"F",4,"Man","Skil",26
"M",4,"Man","Shop",26
"M",5,"Gen","MidWC",26
"M",6,"Gen","Shop",26
"M",3,"Ext","Shop",26
"M",4,"Man","Shop",26
"F",5,"Gen","MidWC",26
"F",6,"Man","Skil",26
"F",3,"Man","Skil",26
"M",5,"Man","Shop",26
"F",4,"Man","Skil",26
"M",5,"Man","Shop",26
"F",6,"Gen","Skil",26
"F",7,"Man","Skil",26
"F",7,"Gen","MidWC",26
"F",5,"Man","Skil",26
"F",4,"Man","Prof",26
"M",4,"Ext","Shop",26
"F",7,"Gen","Shop",26
"F",8,"Uni","Shop",26
"M",4,"Man","Shop",26
"F",6,"Gen","Shop",26
"M",5,"Man","Shop",26
"M",4,"Ext","Shop",26
"F",3,"Man","Skil",27
"M",7,"Gen","MidWC",27
"M",5,"Gen","Skil",27
"F",7,"Gen","Skil",27
"F",7,"Gen","Prof",27
"F",6,"Gen","Skil",27
"M",7,"Gen","Skil",27
"F",7,"Man","Skil",27
"F",5,"Man","MidWC",27
"M",5,"Man","Shop",27
"F",7,"Gen","Skil",27
"M",5,"Gen","Skil",27
"F",9,"Uni","Shop",27
"M",6,"Man","Shop",27
"M",6,"Man","Skil",27
"F",3,"Man","MidWC",28
"M",4,"None","Shop",28
"F",4,"Ext","MidWC",28
"M",5,"Man","Skil",28
"F",4,"Man","Skil",28
"F",5,"Man","Skil",28
"F",8,"Uni","Skil",28
"M",2,"Ext","Shop",28
"M",4,"Man","Shop",28
"M",5,"Man","MidWC",28
"F",7,"Uni","MidWC",28
"M",4,"Man","Shop",28
"M",4,"Man","Shop",28
"M",5,"Gen","Shop",28
"F",6,"Gen","MidWC",28
"M",5,"Man","Shop",28
"F",6,"Man","Skil",28
"F",5,"Man","Skil",28
"F",5,"Man","Skil",28
"M",3,"Man","Shop",28
"M",4,"Man","Shop",28
"M",5,"Man","MidWC",28
"F",4,"Man","Shop",28
"F",5,"Man","Skil",28
"F",6,"Agr","LoWC",28
"F",2,"Ext","Shop",28
"F",7,"Gen","Prof",28
"F",6,"Man","Skil",29
"F",7,"Man","Skil",29
"M",5,"Man","Prof",29
"F",3,"Ext","Skil",29
"F",7,"Gen","MidWC",29
"F",5,"Man","Skil",29
"M",4,"Man","Shop",29
"M",5,"Man","Skil",29
"F",5,"Gen","Prof",29
"M",4,"Man","Shop",29
"M",5,"Man","Shop",29
"F",3,"Gen","Skil",29
"F",6,"Gen","Skil",29
"F",6,"Gen","Shop",29
"F",6,"Gen","Prof",29
"M",6,"Man","Skil",29
"F",8,"Gen","Skil",29
"M",5,"Man","Skil",29
"M",7,"Gen","MidWC",29
"F",7,"Gen","Skil",29
"M",3,"Man","Shop",30
"M",4,"Man","Shop",30
"F",5,"Gen","Shop",30
"M",5,"Gen","Shop",30
"M",5,"Gen","Shop",30
"M",6,"Gen","Shop",30
"M",5,"Man","Shop",30
"F",3,"Ext","Skil",30
"M",6,"Gen","Shop",30
"F",5,"Ext","Shop",30
"F",3,"Ext","LoWC",30
"M",5,"Gen","MidWC",30
"F",5,"Ext","Skil",30
"F",5,"Man","Shop",30
"F",2,"Ext","MidWC",30
"M",5,"Man","Shop",30
"M",3,"Man","Skil",30
"M",5,"Man","Skil",30
"M",3,"Man","Shop",30
"F",6,"Gen","MidWC",30
"M",6,"Gen","Shop",30
"F",4,"Ext","Shop",30
"F",5,"Gen","MidWC",30
"M",5,"Gen","Shop",30
"M",3,"Man","Skil",30
"M",5,"Man","Skil",30
"M",6,"Gen","MidWC",30
"F",5,"Gen","Skil",30
"M",5,"Man","Shop",30
"M",5,"Man","Shop",30
"F",7,"Gen","Prof",30
"M",4,"Man","Shop",30
"M",7,"Uni","Shop",31
"F",9,"Uni","Prof",31
"M",7,"Uni","MidWC",31
"M",7,"Gen","Shop",31
"F",5,"Man","Skil",31
"F",5,"Man","Skil",31
"F",3,"Ext","Skil",31
"M",6,"Gen","MidWC",31
"F",7,"Uni","MidWC",31
"F",7,"Uni","Prof",31
"M",5,"Man","Shop",31
"M",6,"Gen","Shop",31
"M",6,"Gen","Shop",31
"F",5,"Gen","MidWC",31
"F",8,"Uni","Prof",31
"F",8,"Uni","Prof",31
"M",6,"Gen","Shop",31
"F",8,"Uni","Prof",31
"F",5,"Man","Shop",31
"F",5,"Gen","Shop",31
"F",5,"Gen","Prof",31
"M",7,"Gen","Shop",31
"F",8,"Uni","Prof",31
"M",5,"Man","Shop",31
"M",6,"Man","Shop",31
"M",5,"Man","MidWC",31
"M",5,"Gen","Shop",31
"F",8,"Uni","MidWC",31
"F",4,"Man","Skil",31
"M",6,"Gen","Shop",31
"F",9,"Uni","Prof",31
"F",6,"Ext","Prof",31
"F",5,"Man","Skil",31
"F",6,"Man","Prof",31
"F",5,"Gen","MidWC",31
"F",6,"Gen","Prof",31
"F",5,"Man","Skil",31
"F",7,"Uni","Prof",31
"M",5,"Gen","MidWC",31
"F",5,"Man","MidWC",31
"M",5,"Man","Shop",31
"F",4,"Agr","Prof",31
"M",6,"Gen","MidWC",31
"M",9,"Uni","Prof",31
"M",5,"Man","Shop",31
"M",3,"Ext","Shop",31
"M",4,"Man","Shop",31
"F",5,"Man","MidWC",31
"F",8,"Uni","Prof",31
"M",6,"Ext","MidWC",32
"F",7,"Uni","Prof",32
"F",7,"Uni","Prof",32
"F",8,"Uni","Prof",32
"M",4,"Ext","Prof",32
"F",5,"Ext","Prof",32
"F",5,"Ext","Prof",32
"M",7,"Gen","Shop",32
"M",8,"Uni","Prof",32
"F",6,"Gen","MidWC",32
"M",6,"Gen","Shop",32
"M",6,"Uni","Shop",32
"F",7,"Ext","MidWC",32
"F",5,"Man","Shop",32
"F",8,"Uni","MidWC",32
"F",6,"Gen","MidWC",32
"M",5,"Grls","Shop",32
"M",7,"Uni","MidWC",32
"F",7,"Gen","Skil",32
"M",7,"Ext","MidWC",32
"F",8,"Uni","MidWC",32
"F",8,"Uni","LoWC",32
"M",4,"Ext","Shop",32
"M",6,"Ext","MidWC",32
"M",5,"Grls","MidWC",32
"M",7,"Uni","Prof",32
"F",5,"Ext","MidWC",32
"F",4,"Ext","MidWC",32
"F",5,"Ext","MidWC",32
"M",6,"Uni","Prof",32
"F",6,"Ext","Prof",32
"M",7,"Grls","Shop",32
"F",8,"Ext","LoWC",32
"M",4,"Ext","Shop",32
"M",7,"Uni","Shop",32
"M",7,"Uni","MidWC",32
"F",6,"Gen","Skil",32
"F",5,"Uni","Shop",32
"F",5,"Agr","LoWC",32
"M",5,"Ext","Shop",32
"M",6,"Grls","Shop",32
"F",6,"Gen","MidWC",32
"F",7,"Uni","Shop",32
"M",4,"Man","Shop",32
"M",6,"Grls","Shop",32
"M",7,"Grls","Shop",32
"F",5,"Gen","Shop",32
"M",7,"Uni","Prof",32
"M",6,"Uni","Prof",32
"F",7,"Uni","Shop",32
"M",7,"Uni","MidWC",32
"F",4,"Ext","Prof",32
"F",6,"Uni","Prof",32
"M",3,"Man","Shop",32
"F",8,"Uni","MidWC",32
"M",8,"Uni","MidWC",32
"F",7,"Uni","LoWC",32
"M",5,"Man","MidWC",33
"F",9,"Uni","Prof",33
"F",6,"Gen","Prof",33
"M",7,"Gen","MidWC",33
"F",7,"Uni","Skil",33
"F",6,"Gen","Prof",33
"F",5,"Man","Skil",33
"M",4,"Man","Shop",33
"M",8,"Uni","MidWC",33
"F",4,"Ext","LoWC",33
"M",6,"Gen","Skil",33
"F",5,"Man","Skil",33
"F",5,"Man","Skil",33
"F",6,"Gen","MidWC",33
"M",6,"Gen","MidWC",33
"M",4,"Man","MidWC",33
"M",4,"Gen","Shop",33
"F",7,"Uni","Prof",33
"F",5,"Man","Prof",33
"M",5,"Gen","MidWC",33
"M",6,"Gen","MidWC",33
"M",5,"Gen","Shop",33
"M",4,"Ext","MidWC",33
"F",7,"Uni","Prof",33
"M",5,"Man","Shop",33
"M",4,"Man","MidWC",33
"F",7,"Uni","Prof",33
"F",6,"Gen","MidWC",33
"F",5,"Man","MidWC",33
"M",6,"Gen","MidWC",33
"F",5,"Man","Skil",33
"F",6,"Man","Prof",33
"F",6,"Gen","Shop",33
"M",6,"Gen","Shop",33
"F",7,"Gen","Skil",33
"M",7,"Gen","Shop",33
"M",4,"Man","Shop",33
"M",6,"Gen","Shop",34
"M",5,"Man","Shop",34
"F",6,"Gen","Shop",34
"F",5,"Gen","Skil",34
"M",5,"Gen","Skil",34
"M",5,"Gen","Shop",34
"F",5,"Ext","Shop",34
"M",8,"Uni","Shop",34
"M",4,"Man","Shop",34
"F",5,"Man","Skil",34
"M",8,"Uni","Shop",34
"F",6,"Gen","Shop",34
"F",5,"Man","Skil",34
"M",5,"Man","Shop",34
"M",7,"Uni","MidWC",34
"M",5,"Man","Shop",34
"M",6,"Gen","Shop",34
"F",5,"Man","Shop",34
"F",5,"Gen","Prof",34
"M",7,"Uni","Shop",34
"M",6,"Gen","Shop",34
"M",7,"Gen","MidWC",34
"F",8,"Uni","Shop",34
"F",7,"Uni","MidWC",34
"F",8,"Uni","MidWC",34
"M",7,"Uni","MidWC",34
"M",4,"Man","Shop",34
"F",7,"Uni","Prof",34
"M",5,"Man","Shop",34
"M",7,"Gen","MidWC",34
"M",6,"Gen","Shop",34
"F",6,"Gen","MidWC",34
"F",7,"Gen","Skil",34
"F",6,"Gen","Shop",34
"F",7,"Uni","Skil",34
"M",6,"Gen","Shop",34
"F",6,"Gen","Shop",34
"F",5,"Gen","MidWC",34
"M",6,"Gen","Prof",34
"F",4,"Man","Skil",35
"F",4,"Ext","LoWC",35
"M",3,"Ext","MidWC",35
"F",5,"Gen","Shop",35
"M",5,"Gen","Prof",35
"M",5,"Gen","MidWC",35
"M",5,"Man","MidWC",35
"M",4,"Man","Shop",35
"M",5,"Man","Skil",35
"F",5,"Man","Skil",35
"F",5,"Gen","Shop",35
"M",4,"Gen","Shop",35
"M",7,"Gen","MidWC",35
"F",6,"Agr","Shop",35
"M",4,"Ext","Shop",35
"M",2,"Ext","Shop",35
"F",5,"Man","Shop",35
"F",5,"Gen","Skil",35
"M",3,"Ext","Shop",35
"F",7,"Uni","Skil",35
"F",5,"Man","Skil",35
"F",5,"Man","Skil",35
"M",5,"Ext","Skil",35
"M",5,"Man","Skil",35
"F",6,"Man","Skil",35
"F",4,"Man","MidWC",35
"F",5,"Ext","Skil",35
"M",6,"Uni","MidWC",35
"M",5,"Man","Skil",35
"M",6,"Gen","MidWC",35
"M",4,"Ext","Skil",35
"M",5,"Gen","MidWC",35
"F",5,"Man","Skil",35
"F",6,"Man","Shop",35
"M",8,"Uni","Prof",35
"M",4,"Man","Shop",36
"F",5,"Man","LoWC",36
"F",5,"Gen","Prof",36
"F",6,"Gen","MidWC",36
"M",4,"Man","Shop",36
"F",4,"Man","Shop",36
"M",4,"Man","Shop",36
"M",5,"Man","Shop",36
"M",3,"Man","MidWC",36
"F",6,"Gen","Skil",36
"F",6,"Gen","Shop",36
"M",4,"Man","Shop",36
"M",7,"Gen","Shop",36
"F",5,"Man","Prof",36
"M",3,"Man","Shop",36
"F",5,"Man","MidWC",36
"F",4,"Man","Shop",36
"F",4,"Man","MidWC",36
"F",5,"Man","Skil",36
"F",6,"Gen","MidWC",36
"M",5,"Man","Shop",36
"M",6,"Gen","Skil",36
"M",4,"Man","Shop",36
"M",4,"Man","Shop",36
"M",4,"Man","Shop",36
"M",4,"Ext","Skil",36
"F",4,"Agr","Skil",36
"M",4,"Man","Shop",36
"F",5,"Man","LoWC",37
"M",4,"Ext","Shop",37
"F",5,"Man","LoWC",37
"M",4,"Man","Shop",37
"M",3,"Ext","Shop",37
"M",5,"Man","Shop",37
"F",6,"Man","Skil",37
"M",4,"Man","Skil",37
"F",8,"Uni","Skil",37
"F",5,"Man","LoWC",37
"M",3,"Ext","Unsk",37
"F",6,"Man","Skil",37
"M",7,"Gen","Skil",37
"M",3,"Ext","Unsk",37
"F",2,"None","LoWC",37
"M",3,"Ext","Shop",37
